;text;label
0;"the rock is destined to be the 21st century's new "" conan "" and that he's going to make a splash even greater than arnold schwarzenegger , jean-claud van damme or steven segal .";1
1;"the gorgeously elaborate continuation of "" the lord of the rings "" trilogy is so huge that a column of words cannot adequately describe co-writer/director peter jackson's expanded vision of j . r . r . tolkien's middle-earth .";1
2;this is a film well worth seeing , talking and singing heads and all .;1
3;chicago is sophisticated , brash , sardonic , completely joyful in its execution .;1
4;the weakest of the four harry potter books has been transformed into the stronger of the two films by the thinnest of margins .;1
5;its gross-out gags and colorful set pieces . . . are of course stultifyingly contrived and too stylized by half . still , it gets the job done -- a sleepy afternoon rental .;1
6;it further declares its director , zhang yang of shower , as a boldly experimental , contemporary stylist with a bright future .;1
7;smith's approach is never to tease , except gently and in that way that makes us consider our own eccentricities and how they are expressed through our homes .;1
8;full of profound , real-life moments that anyone can relate to , it deserves a wide audience .;1
9;a movie that will touch the hearts of both children and adults , as well as bring audiences to the edge of their seats .;1
10;leave it to rohmer , now 82 , to find a way to bend current technique to the service of a vision of the past that is faithful to both architectural glories and commanding open spaces of the city as it was more than two centuries ago .;1
11;fine acting but there is no sense of connecting the dots , just dots .;1
12;an extraordinary swedish film about the soul adventure of marriage -- the kind of intimate and character-driven film that bille august does best .;1
13;a blessed gift to film geeks and historians . if the '70's were your idea of a good time at the movies , this will make you very happy .;1
14;steve irwin's method is ernest hemmingway at accelerated speed and volume .;1
15;it took 19 predecessors to get this ?;1
16;thoughtful , even stinging at times , and lots of fun .;1
17;one of the most haunting , viciously honest coming-of-age films in recent memory .;1
18;the wwii drama is well plotted , visually striking and filled with enjoyably complex characters who are never what they first appear .;1
19;it's a pleasure to see seinfeld griping about the biz with buddies chris rock , garry shandling and colin quinn .;1
20;if you love motown music , you'll love this documentary .;1
21;this time out , [sade] is an unsettlingly familiar figure -- in turns loyal and deceitful , responsible and reckless , idealistically selfless and coldly self-interested .;1
22;human resources was a good , straightforward tale , but time out is better . it's haunting . it's like a poem .;1
23;to the film's credit , the acting is fresh and unselfconscious , and munch is a marvel of reality versus sappy sentiment .;1
24;chicago is , in many ways , an admirable achievement .;1
25;a refreshing korean film about five female high school friends who face an uphill battle when they try to take their relationships into deeper waters .;1
26;shainberg weaves a carefully balanced scenario that is controlled by neither character , is weirdly sympathetic to both and manages to be tender and darkly comic .;1
27;even when foreign directors . . . borrow stuff from hollywood , they invariably shake up the formula and make it more interesting .;1
28;a cockamamie tone poem pitched precipitously between swoony lyricism and violent catastrophe . . . the most aggressively nerve-wracking and screamingly neurotic romantic comedy in cinema history .;1
29;sturdy , entertaining period drama . . . both caine and fraser have their moments .;1
30;whether [binoche and magimel] are being charming or angst-ridden , they easily fill their scenes and , fine judges both , never overcook the hysteria .;1
31;a spunky , original take on a theme that will resonate with singles of many ages .;1
32;it's a glorious groove that leaves you wanting more .;1
33;majidi gets uniformly engaging performances from his largely amateur cast .;1
34;. . . a well-observed and disturbing little movie;1
35;fans of nijinsky will savor every minute of cox's work .;1
36;on the surface , it's a lovers-on-the-run crime flick , but it has a lot in common with piesiewicz's and kieslowski's earlier work , films like the double life of veronique .;1
37;everything you loved about it in 1982 is still there , for everybody who wants to be a kid again , or show it to their own kids .;1
38;jagger the actor is someone you want to see again .;1
39;warm and exotic .;1
40;escapism in its purest form .;1
41;there is a kind of attentive concern that hoffman brings to his characters , as if he has been giving them private lessons , and now it is time for their first public recital .;1
42;a comic gem with some serious sparkles .;1
43;u . s . audiences may find [attal and gainsbourg's] unfamiliar personas give the film an intimate and quaint reality that is a little closer to human nature than what hollywood typically concocts .;1
44;""" cremaster 3 "" should come with the warning "" for serious film buffs only ! """;1
45;once again , director jackson strikes a rewarding balance between emotion on the human scale and action/effects on the spectacular scale .;1
46;a loving little film of considerable appeal .;1
47;the values that have held the enterprise crew together through previous adventures and perils do so again-courage , self-sacrifice and patience under pressure .;1
48;although it's a bit smug and repetitive , this documentary engages your brain in a way few current films do .;1
49;flawed but worthy look at life in u . s . relocation camps .;1
50;it's a lovely film with lovely performances by buy and accorsi .;1
51;no one goes unindicted here , which is probably for the best . and if you're not nearly moved to tears by a couple of scenes , you've got ice water in your veins .;1
52;a warm , funny , engaging film .;1
53;uses sharp humor and insight into human nature to examine class conflict , adolescent yearning , the roots of friendship and sexual identity .;1
54;half submarine flick , half ghost story , all in one criminally neglected film;1
55;entertains by providing good , lively company .;1
56;dazzles with its fully-written characters , its determined stylishness ( which always relates to characters and story ) and johnny dankworth's best soundtrack in years .;1
57;visually imaginative , thematically instructive and thoroughly delightful , it takes us on a roller-coaster ride from innocence to experience without even a hint of that typical kiddie-flick sentimentality .;1
58;if it's possible for a sequel to outshine the original , then sl2 does just that .;1
59;nothing's at stake , just a twisty double-cross you can smell a mile away--still , the derivative nine queens is lots of fun .;1
60;unlike the speedy wham-bam effect of most hollywood offerings , character development -- and more importantly , character empathy -- is at the heart of italian for beginners .;1
