;text;label
0;simplistic , silly and tedious .;0
1;it's so laddish and juvenile , only teenage boys could possibly find it funny .;0
2;exploitative and largely devoid of the depth or sophistication that would make watching such a graphic treatment of the crimes bearable .;0
3;[garbus] discards the potential for pathological study , exhuming instead , the skewed melodrama of the circumstantial situation .;0
4;a visually flashy but narratively opaque and emotionally vapid exercise in style and mystification .;0
5;the story is also as unoriginal as they come , already having been recycled more times than i'd care to count .;0
6;about the only thing to give the movie points for is bravado -- to take an entirely stale concept and push it through the audience's meat grinder one more time .;0
7;not so much farcical as sour .;0
8;unfortunately the story and the actors are served with a hack script .;0
9;all the more disquieting for its relatively gore-free allusions to the serial murders , but it falls down in its attempts to humanize its subject .;0
10;a sentimental mess that never rings true .;0
11;while the performances are often engaging , this loose collection of largely improvised numbers would probably have worked better as a one-hour tv documentary .;0
12;interesting , but not compelling .;0
13;on a cutting room floor somewhere lies . . . footage that might have made no such thing a trenchant , ironic cultural satire instead of a frustrating misfire .;0
14;while the ensemble player who gained notice in guy ritchie's lock , stock and two smoking barrels and snatch has the bod , he's unlikely to become a household name on the basis of his first starring vehicle .;0
15;there is a difference between movies with the courage to go over the top and movies that don't care about being stupid;0
16;nothing here seems as funny as it did in analyze this , not even joe viterelli as de niro's right-hand goombah .;0
17;"such master screenwriting comes courtesy of john pogue , the yale grad who previously gave us "" the skulls "" and last year's "" rollerball . "" enough said , except : film overboard !";0
18;here , common sense flies out the window , along with the hail of bullets , none of which ever seem to hit sascha .;0
19;this 100-minute movie only has about 25 minutes of decent material .;0
20;the execution is so pedestrian that the most positive comment we can make is that rob schneider actually turns in a pretty convincing performance as a prissy teenage girl .;0
21;on its own , it's not very interesting . as a remake , it's a pale imitation .;0
22;it shows that some studios firmly believe that people have lost the ability to think and will forgive any shoddy product as long as there's a little girl-on-girl action .;0
23;a farce of a parody of a comedy of a premise , it isn't a comparison to reality so much as it is a commentary about our knowledge of films .;0
24;as exciting as all this exoticism might sound to the typical pax viewer , the rest of us will be lulled into a coma .;0
25;the party scenes deliver some tawdry kicks . the rest of the film . . . is dudsville .;0
26;our culture is headed down the toilet with the ferocity of a frozen burrito after an all-night tequila bender  and i know this because i've seen 'jackass : the movie . ';0
